Series ID,Year,Period,Label,Value
LNS14000003,1954,M01,1954 Jan,4.5
LNS14000003,1954,M02,1954 Feb,4.9
LNS14000003,1954,M03,1954 Mar,5.0
LNS14000003,1954,M04,1954 Apr,5.5
LNS14000003,1954,M05,1954 May,5.3
LNS14000003,1954,M06,1954 Jun,5.0
LNS14000003,1954,M07,1954 Jul,5.3
LNS14000003,1954,M08,1954 Aug,5.6
LNS14000003,1954,M09,1954 Sep,5.9
LNS14000003,1954,M10,1954 Oct,5.1
LNS14000003,1954,M11,1954 Nov,4.7
LNS14000003,1954,M12,1954 Dec,4.4
LNS14000003,1955,M01,1955 Jan,4.5
LNS14000003,1955,M02,1955 Feb,4.1
LNS14000003,1955,M03,1955 Mar,4.0
LNS14000003,1955,M04,1955 Apr,4.3
LNS14000003,1955,M05,1955 May,3.8
LNS14000003,1955,M06,1955 Jun,3.7
LNS14000003,1955,M07,1955 Jul,3.6
LNS14000003,1955,M08,1955 Aug,3.6
LNS14000003,1955,M09,1955 Sep,3.6
LNS14000003,1955,M10,1955 Oct,3.7
LNS14000003,1955,M11,1955 Nov,3.6
LNS14000003,1955,M12,1955 Dec,3.7
LNS14000003,1956,M01,1956 Jan,3.5
LNS14000003,1956,M02,1956 Feb,3.6
LNS14000003,1956,M03,1956 Mar,3.7
LNS14000003,1956,M04,1956 Apr,3.6
LNS14000003,1956,M05,1956 May,3.8
LNS14000003,1956,M06,1956 Jun,3.7
LNS14000003,1956,M07,1956 Jul,3.8
LNS14000003,1956,M08,1956 Aug,3.4
LNS14000003,1956,M09,1956 Sep,3.5
LNS14000003,1956,M10,1956 Oct,3.4
LNS14000003,1956,M11,1956 Nov,3.8
LNS14000003,1956,M12,1956 Dec,3.8
LNS14000003,1957,M01,1957 Jan,3.8
LNS14000003,1957,M02,1957 Feb,3.6
LNS14000003,1957,M03,1957 Mar,3.4
LNS14000003,1957,M04,1957 Apr,3.5
LNS14000003,1957,M05,1957 May,3.6
LNS14000003,1957,M06,1957 Jun,3.7
LNS14000003,1957,M07,1957 Jul,3.7
LNS14000003,1957,M08,1957 Aug,3.7
LNS14000003,1957,M09,1957 Sep,3.9
LNS14000003,1957,M10,1957 Oct,4.0
LNS14000003,1957,M11,1957 Nov,4.6
LNS14000003,1957,M12,1957 Dec,4.7
LNS14000003,1958,M01,1958 Jan,5.2
LNS14000003,1958,M02,1958 Feb,5.7
LNS14000003,1958,M03,1958 Mar,5.9
LNS14000003,1958,M04,1958 Apr,6.7
LNS14000003,1958,M05,1958 May,6.7
LNS14000003,1958,M06,1958 Jun,6.6
LNS14000003,1958,M07,1958 Jul,6.8
LNS14000003,1958,M08,1958 Aug,6.7
LNS14000003,1958,M09,1958 Sep,6.4
LNS14000003,1958,M10,1958 Oct,6.0
LNS14000003,1958,M11,1958 Nov,5.5
LNS14000003,1958,M12,1958 Dec,5.5
LNS14000003,1959,M01,1959 Jan,5.3
LNS14000003,1959,M02,1959 Feb,5.2
LNS14000003,1959,M03,1959 Mar,4.9
LNS14000003,1959,M04,1959 Apr,4.7
LNS14000003,1959,M05,1959 May,4.5
LNS14000003,1959,M06,1959 Jun,4.4
LNS14000003,1959,M07,1959 Jul,4.5
LNS14000003,1959,M08,1959 Aug,4.6
LNS14000003,1959,M09,1959 Sep,4.9
LNS14000003,1959,M10,1959 Oct,5.0
LNS14000003,1959,M11,1959 Nov,5.3
LNS14000003,1959,M12,1959 Dec,4.7
LNS14000003,1960,M01,1960 Jan,4.6
LNS14000003,1960,M02,1960 Feb,4.3
LNS14000003,1960,M03,1960 Mar,4.8
LNS14000003,1960,M04,1960 Apr,4.6
LNS14000003,1960,M05,1960 May,4.6
LNS14000003,1960,M06,1960 Jun,4.8
LNS14000003,1960,M07,1960 Jul,4.9
LNS14000003,1960,M08,1960 Aug,5.1
LNS14000003,1960,M09,1960 Sep,5.1
